,coef,ee,t,p
const,0.2746,0.1488,1.8455,0.065
ing_real,-0.0454,0.0227,-1.9958,0.046
d_td,0.1747,0.0493,3.5436,0.0004
d_tasa_real,0.0751,0.057,1.3175,0.1877
crec_cartera,0.0003,0.0002,1.5717,0.1161
d_informal,0.0883,0.0466,1.8953,0.0581
