,coef,ee,t,p
const,0.2027,0.1703,1.1907,0.2338
ing_x_nomina,-0.0237,0.0128,-1.8516,0.0642
ing_x_sin_garantia,-0.2346,0.1254,-1.8708,0.0615
ing_x_garantia_real,0.001,0.0589,0.0172,0.9863
ing_x_microcredito,-0.0139,0.06,-0.2312,0.8172
ing_x_comercial,-0.0046,0.0259,-0.1763,0.8601
d_td,0.1854,0.0601,3.0855,0.002
d_tasa_real,0.0671,0.0561,1.1958,0.2318
crec_cartera,0.0003,0.0002,1.546,0.1222
